compare,timestampA,timestampB,hungarian
0,2006-10-31_23-30-06,2006-11-01_21-12-20,0.47692307692307695
1,2006-11-01_21-12-20,2006-11-02_11-20-53,1.0
2,2006-11-02_11-20-53,2006-11-03_00-05-52,0.8166666666666668
3,2006-11-03_00-05-52,2006-11-04_17-45-18,0.8256410256410256
4,2006-11-04_17-45-18,2006-11-19_02-49-22,0.9794871794871796
5,2006-11-19_02-49-22,2006-11-25_13-48-02,0.9025641025641027
6,2006-11-25_13-48-02,2006-11-25_16-06-55,0.9
7,2006-11-25_16-06-55,2007-01-07_03-48-26,0.5633333333333332
8,2007-01-07_03-48-26,2007-01-18_22-01-04,0.7266666666666667
9,2007-01-18_22-01-04,2007-01-20_18-04-20,0.9346153846153846
10,2007-01-20_18-04-20,2007-01-20_23-41-49,0.7266666666666668
11,2007-01-20_23-41-49,2007-01-31_14-37-01,0.7699999999999998
12,2007-01-31_14-37-01,2007-02-13_16-41-51,1.0
13,2007-02-13_16-41-51,2007-04-23_15-45-55,0.8535714285714285
14,2007-04-23_15-45-55,2007-04-29_19-55-21,0.8285714285714284
15,2007-04-29_19-55-21,2007-04-30_00-08-48,0.8142857142857144
16,2007-04-30_00-08-48,2007-05-17_02-38-27,0.7928571428571428
17,2007-05-17_02-38-27,2007-06-18_00-44-53,0.7464285714285716
18,2007-06-18_00-44-53,2007-06-18_01-00-32,0.8116883116883117
19,2007-06-18_01-00-32,2007-08-29_08-10-01,0.7499999999999999
20,2007-08-29_08-10-01,2007-09-05_21-23-56,0.7875000000000002
21,2007-09-05_21-23-56,2007-10-11_15-36-36,0.888888888888889
22,2007-10-11_15-36-36,2007-10-31_01-13-36,0.8333333333333336
23,2007-10-31_01-13-36,2007-11-07_00-11-20,0.8476190476190478
24,2007-11-07_00-11-20,2007-11-10_09-10-51,0.9761904761904763
25,2007-11-10_09-10-51,2007-11-10_10-03-01,0.9190476190476191
26,2007-11-10_10-03-01,2007-11-20_01-06-29,0.8666666666666666
27,2007-11-20_01-06-29,2007-11-23_20-49-27,0.7764705882352941
28,2007-11-23_20-49-27,2007-11-27_00-57-42,0.8058823529411765
29,2007-11-27_00-57-42,2007-11-27_01-06-43,0.8166666666666668
30,2007-11-27_01-06-43,2007-11-29_18-32-20,0.7729166666666667
31,2007-11-29_18-32-20,2007-12-03_18-53-00,0.9238095238095239
32,2007-12-03_18-53-00,2007-12-03_19-28-51,0.911904761904762
33,2007-12-03_19-28-51,2007-12-09_15-30-36,0.9500000000000001
34,2007-12-09_15-30-36,2007-12-15_21-47-25,0.7354166666666668
35,2007-12-15_21-47-25,2007-12-18_02-34-08,0.915686274509804
36,2007-12-18_02-34-08,2007-12-20_04-39-26,0.911764705882353
37,2007-12-20_04-39-26,2007-12-31_14-34-41,0.911764705882353
38,2007-12-31_14-34-41,2008-01-05_16-40-40,1.0
39,2008-01-05_16-40-40,2008-01-05_18-08-17,0.7705882352941177
40,2008-01-05_18-08-17,2008-01-06_16-01-11,0.8285714285714286
41,2008-01-06_16-01-11,2008-01-10_14-34-15,0.9142857142857145
42,2008-01-10_14-34-15,2015-04-08_17-17-44,0.48086807538549403
43,2015-04-08_17-17-44,2015-04-15_20-53-00,0.6747126436781611
44,2015-04-15_20-53-00,2015-07-31_03-05-24,0.7484848484848483
45,2015-07-31_03-05-24,2015-08-29_22-12-56,0.7590187590187589
46,2015-08-29_22-12-56,2016-07-15_04-45-08,0.6819105691056909
47,2016-07-15_04-45-08,2016-10-01_15-52-00,0.7222222222222222
48,2016-10-01_15-52-00,2016-10-05_13-29-55,0.8337301587301587
49,2016-10-05_13-29-55,2017-03-20_12-41-22,0.7586956521739127
50,2017-03-20_12-41-22,2017-04-30_02-08-59,0.761231884057971
51,2017-04-30_02-08-59,2017-05-08_22-09-08,0.7575030012004802
52,2017-05-08_22-09-08,2018-10-21_21-55-18,0.6527777777777778
53,2018-10-21_21-55-18,2019-02-23_08-27-32,0.7272012578616353
54,2019-02-23_08-27-32,2019-03-03_18-50-03,0.7884615384615384
55,2019-03-03_18-50-03,2019-03-10_23-00-19,0.8190559440559441
56,2019-03-10_23-00-19,2019-09-04_15-59-23,0.729500891265597
57,2019-09-04_15-59-23,2020-02-17_04-11-07,0.772340425531915
58,2020-02-17_04-11-07,2020-08-07_02-25-50,0.7793814432989692
59,2020-08-07_02-25-50,2020-10-28_17-03-37,0.7671614100185526
60,2020-10-28_17-03-37,2020-12-06_00-02-46,0.7606679035250464
