compare,timestampA,timestampB,hungarian
0,2006-10-31_23-30-06,2006-11-01_21-12-20,0.48205128205128206
1,2006-11-01_21-12-20,2006-11-02_11-20-53,1.0
2,2006-11-02_11-20-53,2006-11-03_00-05-52,0.8222222222222223
3,2006-11-03_00-05-52,2006-11-04_17-45-18,0.8611111111111112
4,2006-11-04_17-45-18,2006-11-19_02-49-22,1.0
5,2006-11-19_02-49-22,2006-11-25_13-48-02,1.0
6,2006-11-25_13-48-02,2006-11-25_16-06-55,0.9
7,2006-11-25_16-06-55,2007-01-07_03-48-26,0.5375
8,2007-01-07_03-48-26,2007-01-18_22-01-04,0.8156249999999999
9,2007-01-18_22-01-04,2007-01-20_18-04-20,0.8843749999999999
10,2007-01-20_18-04-20,2007-01-20_23-41-49,0.8033333333333333
11,2007-01-20_23-41-49,2007-01-31_14-37-01,0.8033333333333335
12,2007-01-31_14-37-01,2007-02-13_16-41-51,1.0
13,2007-02-13_16-41-51,2007-04-23_15-45-55,0.7900000000000001
14,2007-04-23_15-45-55,2007-04-29_19-55-21,0.753125
15,2007-04-29_19-55-21,2007-04-30_00-08-48,0.659375
16,2007-04-30_00-08-48,2007-05-17_02-38-27,0.7999999999999999
17,2007-05-17_02-38-27,2007-06-18_00-44-53,0.635294117647059
18,2007-06-18_00-44-53,2007-06-18_01-00-32,0.660427807486631
19,2007-06-18_01-00-32,2007-08-29_08-10-01,0.7595238095238096
20,2007-08-29_08-10-01,2007-09-05_21-23-56,0.8466666666666668
21,2007-09-05_21-23-56,2007-10-11_15-36-36,0.8866666666666667
22,2007-10-11_15-36-36,2007-10-31_01-13-36,0.8933333333333333
23,2007-10-31_01-13-36,2007-11-07_00-11-20,0.8644444444444445
24,2007-11-07_00-11-20,2007-11-10_09-10-51,0.9000000000000001
25,2007-11-10_09-10-51,2007-11-10_10-03-01,0.8690476190476192
26,2007-11-10_10-03-01,2007-11-20_01-06-29,0.8133333333333334
27,2007-11-20_01-06-29,2007-11-23_20-49-27,0.8511111111111112
28,2007-11-23_20-49-27,2007-11-27_00-57-42,0.8208333333333333
29,2007-11-27_00-57-42,2007-11-27_01-06-43,1.0
30,2007-11-27_01-06-43,2007-11-29_18-32-20,0.7666666666666667
31,2007-11-29_18-32-20,2007-12-03_18-53-00,1.0
32,2007-12-03_18-53-00,2007-12-03_19-28-51,0.8619047619047618
33,2007-12-03_19-28-51,2007-12-09_15-30-36,0.8619047619047621
34,2007-12-09_15-30-36,2007-12-15_21-47-25,0.8022222222222222
35,2007-12-15_21-47-25,2007-12-18_02-34-08,0.8411764705882354
36,2007-12-18_02-34-08,2007-12-20_04-39-26,0.8411764705882354
37,2007-12-20_04-39-26,2007-12-31_14-34-41,0.8411764705882354
38,2007-12-31_14-34-41,2008-01-05_16-40-40,1.0
39,2008-01-05_16-40-40,2008-01-05_18-08-17,1.0
40,2008-01-05_18-08-17,2008-01-06_16-01-11,0.8588235294117648
41,2008-01-06_16-01-11,2008-01-10_14-34-15,0.8431372549019608
42,2008-01-10_14-34-15,2008-01-19_17-08-39,-1.0
43,2008-01-19_17-08-39,2010-01-05_12-17-05,-1.0
44,2010-01-05_12-17-05,2012-02-02_07-26-39,-1.0
45,2012-02-02_07-26-39,2012-02-23_21-03-18,-1.0
46,2012-02-23_21-03-18,2012-08-25_14-25-22,-1.0
47,2012-08-25_14-25-22,2012-10-21_17-57-23,-1.0
48,2012-10-21_17-57-23,2012-11-21_20-38-29,-1.0
49,2012-11-21_20-38-29,2013-04-14_12-35-25,-1.0
50,2013-04-14_12-35-25,2013-04-14_21-43-22,-1.0
51,2013-04-14_21-43-22,2013-06-16_20-00-11,-1.0
52,2013-06-16_20-00-11,2013-06-30_15-58-24,-1.0
53,2013-06-30_15-58-24,2013-07-19_02-03-02,-1.0
54,2013-07-19_02-03-02,2013-08-30_01-53-31,-1.0
55,2013-08-30_01-53-31,2014-06-10_21-57-05,-1.0
56,2014-06-10_21-57-05,2014-08-18_19-10-45,-1.0
57,2014-08-18_19-10-45,2014-09-20_13-20-17,-1.0
58,2014-09-20_13-20-17,2014-10-20_19-52-29,-1.0
59,2014-10-20_19-52-29,2015-01-16_13-36-53,-1.0
60,2015-01-16_13-36-53,2015-04-08_17-17-44,-1.0
61,2015-04-08_17-17-44,2015-04-15_20-53-00,0.6977011494252874
62,2015-04-15_20-53-00,2015-07-31_03-05-24,0.7349687349687349
63,2015-07-31_03-05-24,2015-08-29_22-12-56,0.7614237614237614
64,2015-08-29_22-12-56,2016-07-15_04-45-08,0.7313008130081301
65,2016-07-15_04-45-08,2016-10-01_15-52-00,0.7537878787878788
66,2016-10-01_15-52-00,2016-10-05_13-29-55,0.9090909090909091
67,2016-10-05_13-29-55,2017-03-20_12-41-22,0.7973484848484848
68,2017-03-20_12-41-22,2017-04-30_02-08-59,0.7944444444444443
69,2017-04-30_02-08-59,2017-05-08_22-09-08,0.7791116446578632
70,2017-05-08_22-09-08,2018-10-21_21-55-18,0.723015873015873
71,2018-10-21_21-55-18,2019-02-23_08-27-32,0.7654986522911051
72,2019-02-23_08-27-32,2019-03-03_18-50-03,0.7846153846153846
73,2019-03-03_18-50-03,2019-03-10_23-00-19,0.7557692307692309
74,2019-03-10_23-00-19,2019-09-04_15-59-23,0.7524509803921569
75,2019-09-04_15-59-23,2020-02-17_04-11-07,0.7195357833655707
76,2020-02-17_04-11-07,2020-08-07_02-25-50,0.7600749765698218
77,2020-08-07_02-25-50,2020-10-28_17-03-37,0.7714285714285712
78,2020-10-28_17-03-37,2020-12-06_00-02-46,0.7755102040816326
