compare,timestampA,timestampB,hungarian
0,2006-10-31_23-30-06,2006-11-01_21-12-20,0.46428571428571436
1,2006-11-01_21-12-20,2006-11-02_11-20-53,0.8333333333333333
2,2006-11-02_11-20-53,2006-11-03_00-05-52,0.8974358974358976
3,2006-11-03_00-05-52,2006-11-04_17-45-18,0.882051282051282
4,2006-11-04_17-45-18,2006-11-19_02-49-22,0.8820512820512819
5,2006-11-19_02-49-22,2006-11-25_13-48-02,0.8615384615384616
6,2006-11-25_13-48-02,2006-11-25_16-06-55,0.8523809523809522
7,2006-11-25_16-06-55,2007-01-07_03-48-26,0.7266666666666667
8,2007-01-07_03-48-26,2007-01-18_22-01-04,0.8833333333333334
9,2007-01-18_22-01-04,2007-01-20_18-04-20,0.8566666666666667
10,2007-01-20_18-04-20,2007-01-20_23-41-49,0.8321428571428573
11,2007-01-20_23-41-49,2007-01-31_14-37-01,0.8214285714285715
12,2007-01-31_14-37-01,2007-02-13_16-41-51,0.95
13,2007-02-13_16-41-51,2007-04-23_15-45-55,0.7964285714285715
14,2007-04-23_15-45-55,2007-04-29_19-55-21,0.7964285714285715
15,2007-04-29_19-55-21,2007-04-30_00-08-48,0.7466666666666667
16,2007-04-30_00-08-48,2007-05-17_02-38-27,0.76
17,2007-05-17_02-38-27,2007-06-18_00-44-53,0.8250000000000001
18,2007-06-18_00-44-53,2007-06-18_01-00-32,0.7333333333333333
19,2007-06-18_01-00-32,2007-08-29_08-10-01,0.7952380952380952
20,2007-08-29_08-10-01,2007-09-05_21-23-56,0.7511111111111112
21,2007-09-05_21-23-56,2007-10-11_15-36-36,0.8145833333333333
22,2007-10-11_15-36-36,2007-10-31_01-13-36,0.8166666666666668
23,2007-10-31_01-13-36,2007-11-07_00-11-20,0.8444444444444446
24,2007-11-07_00-11-20,2007-11-10_09-10-51,0.8266666666666667
25,2007-11-10_09-10-51,2007-11-10_10-03-01,0.8857142857142858
26,2007-11-10_10-03-01,2007-11-20_01-06-29,0.788235294117647
27,2007-11-20_01-06-29,2007-11-23_20-49-27,0.8215686274509804
28,2007-11-23_20-49-27,2007-11-27_00-57-42,0.8577777777777779
29,2007-11-27_00-57-42,2007-11-27_01-06-43,0.8952380952380954
30,2007-11-27_01-06-43,2007-11-29_18-32-20,0.7958333333333332
31,2007-11-29_18-32-20,2007-12-03_18-53-00,0.8416666666666668
32,2007-12-03_18-53-00,2007-12-03_19-28-51,0.8933333333333333
33,2007-12-03_19-28-51,2007-12-09_15-30-36,0.9166666666666667
34,2007-12-09_15-30-36,2007-12-15_21-47-25,0.88
35,2007-12-15_21-47-25,2007-12-18_02-34-08,0.828888888888889
36,2007-12-18_02-34-08,2007-12-20_04-39-26,0.7411764705882352
37,2007-12-20_04-39-26,2007-12-31_14-34-41,0.7725490196078432
38,2007-12-31_14-34-41,2008-01-05_16-40-40,0.8458333333333334
39,2008-01-05_16-40-40,2008-01-05_18-08-17,0.8833333333333335
40,2008-01-05_18-08-17,2008-01-06_16-01-11,0.8270833333333333
