compare,timestampA,timestampB,hungarian
0,2006-10-31_23-30-06,2006-11-01_21-12-20,0.43809523809523815
1,2006-11-01_21-12-20,2006-11-02_11-20-53,0.7238095238095238
2,2006-11-02_11-20-53,2006-11-03_00-05-52,0.7128205128205128
3,2006-11-03_00-05-52,2006-11-04_17-45-18,0.7692307692307693
4,2006-11-04_17-45-18,2006-11-19_02-49-22,0.7538461538461539
5,2006-11-19_02-49-22,2006-11-25_13-48-02,0.7897435897435898
6,2006-11-25_13-48-02,2006-11-25_16-06-55,0.7333333333333333
7,2006-11-25_16-06-55,2007-01-07_03-48-26,0.6666666666666666
8,2007-01-07_03-48-26,2007-01-18_22-01-04,0.7166666666666668
9,2007-01-18_22-01-04,2007-01-20_18-04-20,0.7299999999999999
10,2007-01-20_18-04-20,2007-01-20_23-41-49,0.7678571428571429
11,2007-01-20_23-41-49,2007-01-31_14-37-01,0.6964285714285714
12,2007-01-31_14-37-01,2007-02-13_16-41-51,0.7576923076923078
13,2007-02-13_16-41-51,2007-04-23_15-45-55,0.7107142857142856
14,2007-04-23_15-45-55,2007-04-29_19-55-21,0.7035714285714285
15,2007-04-29_19-55-21,2007-04-30_00-08-48,0.6733333333333333
16,2007-04-30_00-08-48,2007-05-17_02-38-27,0.6866666666666668
17,2007-05-17_02-38-27,2007-06-18_00-44-53,0.7178571428571426
18,2007-06-18_00-44-53,2007-06-18_01-00-32,0.7060606060606063
19,2007-06-18_01-00-32,2007-08-29_08-10-01,0.7428571428571428
20,2007-08-29_08-10-01,2007-09-05_21-23-56,0.6911111111111111
21,2007-09-05_21-23-56,2007-10-11_15-36-36,0.7125
22,2007-10-11_15-36-36,2007-10-31_01-13-36,0.7062499999999998
23,2007-10-31_01-13-36,2007-11-07_00-11-20,0.7266666666666667
24,2007-11-07_00-11-20,2007-11-10_09-10-51,0.7
25,2007-11-10_09-10-51,2007-11-10_10-03-01,0.7404761904761905
26,2007-11-10_10-03-01,2007-11-20_01-06-29,0.7098039215686276
27,2007-11-20_01-06-29,2007-11-23_20-49-27,0.7019607843137257
28,2007-11-23_20-49-27,2007-11-27_00-57-42,0.7422222222222222
