compare,timestampA,timestampB,hungarian
0,2006-10-31_23-30-06,2006-11-01_21-12-20,0.49090909090909096
1,2006-11-01_21-12-20,2006-11-02_11-20-53,0.9629629629629631
2,2006-11-02_11-20-53,2006-11-03_00-05-52,0.6410256410256411
3,2006-11-03_00-05-52,2006-11-04_17-45-18,0.7589743589743588
4,2006-11-04_17-45-18,2006-11-19_02-49-22,0.8
5,2006-11-19_02-49-22,2006-11-25_13-48-02,0.7696969696969697
6,2006-11-25_13-48-02,2006-11-25_16-06-55,0.8121212121212124
7,2006-11-25_16-06-55,2007-01-07_03-48-26,0.7041666666666667
8,2007-01-07_03-48-26,2007-01-18_22-01-04,0.7923076923076923
9,2007-01-18_22-01-04,2007-01-20_18-04-20,0.8115384615384614
10,2007-01-20_18-04-20,2007-01-20_23-41-49,0.8041666666666667
11,2007-01-20_23-41-49,2007-01-31_14-37-01,0.7035714285714286
12,2007-01-31_14-37-01,2007-02-13_16-41-51,0.8464285714285715
13,2007-02-13_16-41-51,2007-04-23_15-45-55,0.7964285714285714
14,2007-04-23_15-45-55,2007-04-29_19-55-21,0.7785714285714286
15,2007-04-29_19-55-21,2007-04-30_00-08-48,0.7653846153846153
16,2007-04-30_00-08-48,2007-05-17_02-38-27,0.6964285714285714
17,2007-05-17_02-38-27,2007-06-18_00-44-53,0.7785714285714286
18,2007-06-18_00-44-53,2007-06-18_01-00-32,0.6850649350649352
19,2007-06-18_01-00-32,2007-08-29_08-10-01,0.7193877551020408
20,2007-08-29_08-10-01,2007-09-05_21-23-56,0.7577777777777778
21,2007-09-05_21-23-56,2007-10-11_15-36-36,0.7177777777777777
22,2007-10-11_15-36-36,2007-10-31_01-13-36,0.7487179487179486
23,2007-10-31_01-13-36,2007-11-07_00-11-20,0.7333333333333334
24,2007-11-07_00-11-20,2007-11-10_09-10-51,0.7761904761904762
25,2007-11-10_09-10-51,2007-11-10_10-03-01,0.773809523809524
26,2007-11-10_10-03-01,2007-11-20_01-06-29,0.7871794871794872
27,2007-11-20_01-06-29,2007-11-23_20-49-27,0.8461538461538463
28,2007-11-23_20-49-27,2007-11-27_00-57-42,0.7717948717948718
29,2007-11-27_00-57-42,2007-11-27_01-06-43,0.7666666666666667
30,2007-11-27_01-06-43,2007-11-29_18-32-20,0.75
31,2007-11-29_18-32-20,2007-12-03_18-53-00,0.8025641025641026
32,2007-12-03_18-53-00,2007-12-03_19-28-51,0.7333333333333333
33,2007-12-03_19-28-51,2007-12-09_15-30-36,0.7641025641025643
34,2007-12-09_15-30-36,2007-12-15_21-47-25,0.7871794871794873
35,2007-12-15_21-47-25,2007-12-18_02-34-08,0.728888888888889
36,2007-12-18_02-34-08,2007-12-20_04-39-26,0.82
37,2007-12-20_04-39-26,2007-12-31_14-34-41,0.7200000000000002
38,2007-12-31_14-34-41,2008-01-05_16-40-40,0.7871794871794872
39,2008-01-05_16-40-40,2008-01-05_18-08-17,0.8076923076923078
40,2008-01-05_18-08-17,2008-01-06_16-01-11,0.7533333333333336
41,2008-01-06_16-01-11,2008-01-10_14-34-15,0.7088888888888889
42,2008-01-10_14-34-15,2008-01-19_17-08-39,-1.0
43,2008-01-19_17-08-39,2010-01-05_12-17-05,-1.0
44,2010-01-05_12-17-05,2012-02-02_07-26-39,-1.0
45,2012-02-02_07-26-39,2012-02-23_21-03-18,-1.0
46,2012-02-23_21-03-18,2012-08-25_14-25-22,-1.0
47,2012-08-25_14-25-22,2012-10-21_17-57-23,-1.0
48,2012-10-21_17-57-23,2012-11-21_20-38-29,-1.0
49,2012-11-21_20-38-29,2013-04-14_12-35-25,-1.0
50,2013-04-14_12-35-25,2013-04-14_21-43-22,-1.0
51,2013-04-14_21-43-22,2013-06-16_20-00-11,-1.0
52,2013-06-16_20-00-11,2013-06-30_15-58-24,-1.0
53,2013-06-30_15-58-24,2013-07-19_02-03-02,-1.0
54,2013-07-19_02-03-02,2013-08-30_01-53-31,-1.0
